  Building Type,Area,Region,Outlet Name,Date,Tabs,No Of Items,No Of Bills,Sale,Discount,Charges,Net Sale,Total Tax,Total Amount,Round Off,Gross Amount,
"-","-","-","Porvorim Navtara",2020-10-08,"NON AC",236.00,71,14763.01,752.46,0.00,14010.55,700.61,14711.16,-0.16,14711.00,
"-","-","-","Porvorim Navtara",2020-10-08,"NON FOOD",3.00,2,120.00,0.00,0.00,120.00,0.00,120.00,0.00,120.00,
"-","-","-","Porvorim Navtara",2020-10-08,"AC",89.00,11,6848.03,0.00,0.00,6848.03,342.42,7190.45,-0.45,7190.00,
"-","-","-","Porvorim Navtara",2020-10-09,"NON AC",341.00,84,18763.32,1257.28,0.00,17506.04,875.42,18381.46,-0.46,18381.00,
"-","-","-","Porvorim Navtara",2020-10-09,"TAKE AWAY",91.00,40,5809.87,871.51,0.00,4938.36,246.96,5185.32,-0.32,5185.00,
"-","-","-","Porvorim Navtara",2020-10-09,"SWIGGY",113.00,45,9314.78,2978.38,0.00,6336.40,316.84,6653.24,-0.24,6653.00,
"-","-","-","Porvorim Navtara",2020-10-09,"ZOMATO",29.00,8,2600.16,0.00,0.00,2600.16,130.01,2730.17,-0.17,2730.00,
"-","-","-","Porvorim Navtara",2020-10-09,"AC",28.00,3,2028.74,752.47,0.00,1276.27,63.83,1340.10,-0.10,1340.00,
"-","-","-","Porvorim Navtara",2020-10-10,"NON AC",479.00,108,28087.64,447.66,0.00,27639.98,1382.13,29022.11,-0.11,29022.00,
"-","-","-","Porvorim Navtara",2020-10-10,"SWIGGY",146.00,56,13505.46,3996.45,0.00,9509.01,475.48,9984.49,-0.49,9984.00,
"-","-","-","Porvorim Navtara",2020-10-10,"TAKE AWAY",89.00,29,5495.61,228.59,0.00,5267.02,263.39,5530.41,-0.41,5530.00,
"-","-","-","Porvorim Navtara",2020-10-10,"ZOMATO",100.00,20,8286.21,66.67,0.00,8219.54,410.99,8630.53,0.47,8631.00,
"-","-","-","Porvorim Navtara",2020-10-10,"NON FOOD",12.00,3,480.00,0.00,0.00,480.00,0.00,480.00,0.00,480.00,
"-","-","-","Porvorim Navtara",2020-10-11,"SWIGGY",144.00,48,11105.49,2698.88,0.00,8406.61,420.42,8827.03,-0.03,8827.00,
"-","-","-","Porvorim Navtara",2020-10-11,"NON AC",555.00,108,32002.51,1566.86,0.00,30435.65,1521.96,31957.61,0.39,31958.00,
"-","-","-","Porvorim Navtara",2020-10-11,"TAKE AWAY",158.00,51,9324.49,3305.06,0.00,6019.43,301.05,6320.48,-0.48,6320.00,
"-","-","-","Porvorim Navtara",2020-10-11,"ZOMATO",27.00,9,2704.91,0.00,0.00,2704.91,135.27,2840.18,-0.18,2840.00,
"-","-","-","Porvorim Navtara",2020-10-12,"SWIGGY",189.00,76,17143.75,4842.60,0.00,12301.15,615.10,12916.25,-0.25,12916.00,
"-","-","-","Porvorim Navtara",2020-10-12,"TAKE AWAY",94.00,39,6200.39,738.14,0.00,5462.25,273.17,5735.42,-0.42,5735.00,
"-","-","-","Porvorim Navtara",2020-10-12,"NON AC",505.00,106,31573.67,1390.63,0.00,30183.04,1509.26,31692.30,-0.30,31692.00,
"-","-","-","Porvorim Navtara",2020-10-12,"ZOMATO",37.00,9,2505.00,0.00,0.00,2505.00,125.29,2630.29,-0.29,2630.00,
"-","-","-","Porvorim Navtara",2020-10-12,"NON FOOD",1.00,1,40.00,0.00,0.00,40.00,0.00,40.00,0.00,40.00,
"-","-","-","Porvorim Navtara",2020-10-13,"NON FOOD",22.00,3,880.00,0.00,0.00,880.00,0.00,880.00,0.00,880.00,
"-","-","-","Porvorim Navtara",2020-10-13,"TAKE AWAY",154.00,46,10448.20,1123.90,0.00,9324.30,466.31,9790.61,0.39,9791.00,
"-","-","-","Porvorim Navtara",2020-10-13,"NON AC",410.00,103,24068.44,1133.44,0.00,22935.00,1146.99,24081.99,0.01,24082.00,
"-","-","-","Porvorim Navtara",2020-10-13,"SWIGGY",146.00,51,11610.20,3839.30,0.00,7770.90,388.63,8159.53,0.47,8160.00,
"-","-","-","Porvorim Navtara",2020-10-13,"ZOMATO",34.00,9,2790.68,0.00,0.00,2790.68,139.56,2930.24,-0.24,2930.00,
"-","-","-","Porvorim Navtara",2020-10-14,"SWIGGY",115.00,46,9848.23,2671.75,0.00,7176.48,358.85,7535.33,-0.33,7535.00,
"-","-","-","Porvorim Navtara",2020-10-14,"NON AC",367.00,91,21306.27,1352.53,0.00,19953.74,997.88,20951.62,0.38,20952.00,
"-","-","-","Porvorim Navtara",2020-10-14,"ZOMATO",37.00,8,2276.41,0.00,0.00,2276.41,113.84,2390.25,-0.25,2390.00,
"-","-","-","Porvorim Navtara",2020-10-14,"TAKE AWAY",125.00,32,7152.76,723.86,0.00,6428.90,321.50,6750.40,-0.40,6750.00,
"-","-","-","Porvorim Navtara",2020-10-14,"AC",2.00,1,76.20,0.00,0.00,76.20,3.82,80.02,-0.02,80.00,
"-","-","-","Porvorim Navtara",2020-10-15,"TAKE AWAY",101.00,33,6028.92,466.73,0.00,5562.19,278.18,5840.37,-0.37,5840.00,
"-","-","-","Porvorim Navtara",2020-10-15,"SWIGGY",155.00,60,13096.04,4338.35,0.00,8757.69,437.87,9195.56,0.44,9196.00,
"-","-","-","Porvorim Navtara",2020-10-15,"ZOMATO",26.00,5,1838.27,0.00,0.00,1838.27,91.94,1930.21,-0.21,1930.00,
"-","-","-","Porvorim Navtara",2020-10-15,"NON AC",404.00,107,23868.39,1633.50,0.00,22234.89,1111.84,23346.73,0.27,23347.00,
"-","-","-","Porvorim Navtara",2020-10-15,"NON FOOD",2.00,1,80.00,0.00,0.00,80.00,0.00,80.00,0.00,80.00,
"-","-","-","Porvorim Navtara",2020-10-16,"SWIGGY",111.00,42,8971.90,2941.30,0.00,6030.60,301.53,6332.13,-0.13,6332.00,
"-","-","-","Porvorim Navtara",2020-10-16,"NON AC",375.00,88,21506.63,1457.29,0.00,20049.34,1002.70,21052.04,-0.04,21052.00,
"-","-","-","Porvorim Navtara",2020-10-16,"TAKE AWAY",112.00,35,5676.58,933.42,0.00,4743.16,237.19,4980.35,-0.35,4980.00,
"-","-","-","Porvorim Navtara",2020-10-16,"ZOMATO",38.00,6,2209.77,0.00,0.00,2209.77,110.52,2320.29,-0.29,2320.00,
"-","-","-","Porvorim Navtara",2020-10-16,"NON FOOD",5.00,3,200.00,0.00,0.00,200.00,0.00,200.00,0.00,200.00,
"-","-","-","Porvorim Navtara",2020-10-16,"AC",24.00,2,1676.31,0.00,0.00,1676.31,83.83,1760.14,-0.14,1760.00,
"-","-","-","Porvorim Navtara",2020-10-17,"SWIGGY",151.00,59,13048.36,4209.71,0.00,8838.65,441.91,9280.56,0.44,9281.00,
"-","-","-","Porvorim Navtara",2020-10-17,"NON AC",403.00,105,24059.13,2028.72,0.00,22030.41,1101.70,23132.11,-0.11,23132.00,
"-","-","-","Porvorim Navtara",2020-10-17,"TAKE AWAY",102.00,33,6705.15,1281.07,0.00,5424.08,271.24,5695.32,-0.32,5695.00,
"-","-","-","Porvorim Navtara",2020-10-17,"NON FOOD",1.00,1,40.00,0.00,0.00,40.00,0.00,40.00,0.00,40.00,
"-","-","-","Porvorim Navtara",2020-10-17,"ZOMATO",46.00,10,3352.59,0.00,0.00,3352.59,167.64,3520.23,-0.23,3520.00,
"-","-","-","Porvorim Navtara",2020-10-17,"AC",37.00,5,2609.76,385.76,0.00,2224.00,111.20,2335.20,-0.20,2335.00,
"-","-","-","Porvorim Navtara",2020-10-18,"NON AC",563.00,114,33792.77,1952.53,0.00,31840.24,1592.13,33432.37,-0.37,33432.00,
"-","-","-","Porvorim Navtara",2020-10-18,"SWIGGY",214.00,64,19410.57,5538.31,0.00,13872.26,693.69,14565.95,0.05,14566.00,
"-","-","-","Porvorim Navtara",2020-10-18,"ZOMATO",34.00,10,2790.66,0.00,0.00,2790.66,139.53,2930.19,-0.19,2930.00,
"-","-","-","Porvorim Navtara",2020-10-18,"TAKE AWAY",233.00,58,13343.71,3628.87,0.00,9714.84,485.77,10200.61,0.39,10201.00,
"-","-","-","Porvorim Navtara",2020-10-18,"NON FOOD",4.00,2,160.00,0.00,0.00,160.00,0.00,160.00,0.00,160.00,
"-","-","-","Porvorim Navtara",2020-10-18,"AC",20.00,2,1219.18,0.00,0.00,1219.18,60.96,1280.14,-0.14,1280.00,
"-","-","-","Porvorim Navtara",2020-10-19,"NON AC",498.00,131,31678.28,1714.46,0.00,29963.82,1498.35,31462.17,-0.17,31462.00,
"-","-","-","Porvorim Navtara",2020-10-19,"SWIGGY",155.00,70,14219.78,4845.91,0.00,9373.87,468.72,9842.59,0.41,9843.00,
"-","-","-","Porvorim Navtara",2020-10-19,"TAKE AWAY",137.00,43,8705.28,1723.98,0.00,6981.30,349.08,7330.38,-0.38,7330.00,
"-","-","-","Porvorim Navtara",2020-10-19,"ZOMATO",43.00,13,3733.60,0.00,0.00,3733.60,186.71,3920.31,-0.31,3920.00,
"-","-","-","Porvorim Navtara",2020-10-19,"AC",51.00,5,3924.09,342.89,0.00,3581.20,179.11,3760.31,-0.31,3760.00,
"-","-","-","Porvorim Navtara",2020-10-19,"NON FOOD",5.00,1,200.00,0.00,0.00,200.00,0.00,200.00,0.00,200.00,
"-","-","-","Porvorim Navtara",2020-10-20,"TAKE AWAY",117.00,34,6495.71,2119.27,0.00,4376.44,218.84,4595.28,-0.28,4595.00,
"-","-","-","Porvorim Navtara",2020-10-20,"NON AC",384.00,104,21782.52,1266.79,0.00,20515.73,1025.82,21541.55,0.45,21542.00,
"-","-","-","Porvorim Navtara",2020-10-20,"SWIGGY",136.00,59,12772.10,4451.17,0.00,8320.93,416.02,8736.95,0.05,8737.00,
"-","-","-","Porvorim Navtara",2020-10-20,"ZOMATO",11.00,3,695.32,0.00,0.00,695.32,34.77,730.09,-0.09,730.00,
"-","-","-","Porvorim Navtara",2020-10-20,"AC",54.00,4,4714.55,0.00,0.00,4714.55,235.72,4950.27,-0.27,4950.00,
"-","-","-","Porvorim Navtara",2020-10-20,"NON FOOD",4.00,2,160.00,0.00,0.00,160.00,0.00,160.00,0.00,160.00,
"-","-","-","Porvorim Navtara",2020-10-21,"TAKE AWAY",118.00,34,7781.43,1752.55,0.00,6028.88,301.49,6330.37,-0.37,6330.00,
"-","-","-","Porvorim Navtara",2020-10-21,"NON AC",444.00,115,23535.25,2276.46,0.00,21258.79,1063.08,22321.87,0.13,22322.00,
"-","-","-","Porvorim Navtara",2020-10-21,"SWIGGY",133.00,47,11514.85,3439.74,0.00,8075.11,403.74,8478.85,0.15,8479.00,
"-","-","-","Porvorim Navtara",2020-10-21,"ZOMATO",14.00,6,2019.11,0.00,0.00,2019.11,100.97,2120.08,-0.08,2120.00,
"-","-","-","Porvorim Navtara",2020-10-21,"AC",96.00,4,8181.35,0.00,0.00,8181.35,409.11,8590.46,-0.46,8590.00,
"-","-","-","Porvorim Navtara",2020-10-21,"NON FOOD",13.00,2,520.00,0.00,0.00,520.00,0.00,520.00,0.00,520.00,
"-","-","-","Porvorim Navtara",2020-10-22,"TAKE AWAY",357.00,46,16239.56,1347.79,0.00,14891.77,744.64,15636.41,-0.41,15636.00,
"-","-","-","Porvorim Navtara",2020-10-22,"NON AC",359.00,103,20296.74,1223.96,0.00,19072.78,953.71,20026.49,-0.49,20026.00,
