  Building Type,Area,Region,Outlet Name,Date,Tabs,No Of Items,No Of Bills,Sale,Discount,Charges,Net Sale,Total Tax,Total Amount,Round Off,Gross Amount,
"-","-","-","Calangute Navtara",2020-04-01,"ZOMATO",58.00,21,6657.36,447.64,0.00,6209.72,310.52,6520.24,-0.24,6520.00,
"-","-","-","Calangute Navtara",2020-04-01,"SWIGGY",82.00,26,8142.15,0.00,0.00,8142.15,407.11,8549.26,-0.26,8549.00,
"-","-","-","Calangute Navtara",2020-04-01,"TAKE AWAY",26.00,5,1904.99,876.30,0.00,1028.69,51.44,1080.13,-0.13,1080.00,
"-","-","-","Calangute Navtara",2020-04-02,"ZOMATO",58.00,26,6038.35,304.77,0.00,5733.58,286.67,6020.25,-0.25,6020.00,
"-","-","-","Calangute Navtara",2020-04-02,"SWIGGY",60.00,24,5935.31,0.00,0.00,5935.31,296.77,6232.08,-0.08,6232.00,
"-","-","-","Calangute Navtara",2020-04-02,"TAKE AWAY",41.00,8,3114.67,1524.00,0.00,1590.67,79.55,1670.22,-0.22,1670.00,
"-","-","-","Calangute Navtara",2020-04-03,"ZOMATO",47.00,15,4828.68,552.41,0.00,4276.27,213.80,4490.07,-0.07,4490.00,
"-","-","-","Calangute Navtara",2020-04-03,"TAKE AWAY",57.00,10,3686.07,1566.83,0.00,2119.24,105.97,2225.21,-0.21,2225.00,
"-","-","-","Calangute Navtara",2020-04-03,"SWIGGY",52.00,21,4792.00,0.00,0.00,4792.00,239.59,5031.59,0.41,5032.00,
"-","-","-","Calangute Navtara",2020-04-04,"SWIGGY",84.00,34,8476.31,0.00,0.00,8476.31,423.81,8900.12,-0.12,8900.00,
"-","-","-","Calangute Navtara",2020-04-04,"ZOMATO",34.00,13,3352.47,190.48,0.00,3161.99,158.11,3320.10,-0.10,3320.00,
"-","-","-","Calangute Navtara",2020-04-04,"TAKE AWAY",48.00,8,3295.56,1552.54,0.00,1743.02,87.15,1830.17,-0.17,1830.00,
"-","-","-","Calangute Navtara",2020-04-05,"SWIGGY",102.00,37,9533.62,0.00,0.00,9533.62,476.71,10010.33,-0.33,10010.00,
"-","-","-","Calangute Navtara",2020-04-05,"ZOMATO",48.00,18,5543.03,314.29,0.00,5228.74,261.44,5490.18,-0.18,5490.00,
"-","-","-","Calangute Navtara",2020-04-05,"TAKE AWAY",56.00,9,4209.91,1724.00,0.00,2485.91,124.32,2610.23,-0.23,2610.00,
"-","-","-","Calangute Navtara",2020-04-06,"TAKE AWAY",69.00,13,4467.06,1590.64,0.00,2876.42,143.84,3020.26,-0.26,3020.00,
"-","-","-","Calangute Navtara",2020-04-06,"ZOMATO",39.00,10,3657.30,419.06,0.00,3238.24,161.92,3400.16,-0.16,3400.00,
"-","-","-","Calangute Navtara",2020-04-06,"SWIGGY",101.00,30,9162.28,0.00,0.00,9162.28,458.12,9620.40,-0.40,9620.00,
"-","-","-","Calangute Navtara",2020-04-07,"TAKE AWAY",64.00,15,4552.77,1476.34,0.00,3076.43,153.84,3230.27,-0.27,3230.00,
"-","-","-","Calangute Navtara",2020-04-07,"ZOMATO",52.00,14,5000.20,590.48,0.00,4409.72,220.50,4630.22,-0.22,4630.00,
"-","-","-","Calangute Navtara",2020-04-07,"SWIGGY",52.00,25,4476.27,0.00,0.00,4476.27,223.82,4700.09,-0.09,4700.00,
"-","-","-","Calangute Navtara",2020-04-08,"SWIGGY",84.00,29,7486.09,0.00,0.00,7486.09,374.35,7860.44,-0.44,7860.00,
"-","-","-","Calangute Navtara",2020-04-08,"TAKE AWAY",50.00,15,4000.33,1252.52,0.00,2747.81,137.40,2885.21,-0.21,2885.00,
"-","-","-","Calangute Navtara",2020-04-08,"ZOMATO",21.00,7,2000.10,390.49,0.00,1609.61,80.49,1690.10,-0.10,1690.00,
"-","-","-","Calangute Navtara",2020-04-09,"SWIGGY",52.00,25,5342.90,0.00,0.00,5342.90,267.17,5610.07,-0.07,5610.00,
"-","-","-","Calangute Navtara",2020-04-09,"ZOMATO",36.00,13,3171.58,380.96,0.00,2790.62,139.53,2930.15,-0.15,2930.00,
