  Building Type,Area,Region,Outlet Name,Date,Tabs,No Of Items,No Of Bills,Sale,Discount,Charges,Net Sale,Total Tax,Total Amount,Round Off,Gross Amount,
"-","-","-","Panaji Navtara",2025-05-07,"SWIGGY",321.00,97,26133.00,5867.01,970.00,20265.99,68.42,21304.41,-0.41,21304.00,
"-","-","-","Panaji Navtara",2025-05-07,"TAKE AWAY",102.00,42,5267.38,854.20,0.00,4413.18,220.68,4633.86,0.14,4634.00,
"-","-","-","Panaji Navtara",2025-05-07,"ZOMATO",106.00,42,10751.00,2487.70,420.00,8263.30,22.09,8705.39,-0.39,8705.00,
"-","-","-","Panaji Navtara",2025-05-07,"NON AC",853.00,169,50019.16,4811.92,0.00,45207.24,2260.56,47467.80,0.20,47468.00,
"-","-","-","Panaji Navtara",2025-05-07,"AC",395.00,56,33532.61,1856.20,0.00,31676.41,1583.91,33260.32,-0.32,33260.00,
"-","-","-","Panaji Navtara",2025-05-07,"NON FOOD",12.00,1,457.08,0.00,0.00,457.08,22.85,479.93,0.07,480.00,
"-","-","-","Panaji Navtara",2025-05-08,"NON AC",886.00,217,57513.74,3685.38,0.00,53828.36,2691.69,56520.05,-0.05,56520.00,
"-","-","-","Panaji Navtara",2025-05-08,"SWIGGY",419.00,140,36998.00,8535.10,1400.00,28462.90,83.38,29946.28,-0.28,29946.00,
"-","-","-","Panaji Navtara",2025-05-08,"TAKE AWAY",153.00,48,13619.42,7506.58,0.00,6112.84,305.63,6418.47,-0.47,6418.00,
"-","-","-","Panaji Navtara",2025-05-08,"ZOMATO",178.00,54,17175.00,3804.70,540.00,13370.30,28.45,13938.75,0.25,13939.00,
"-","-","-","Panaji Navtara",2025-05-08,"AC",485.00,67,42104.80,2218.38,0.00,39886.42,1994.49,41880.91,0.09,41881.00,
"-","-","-","Panaji Navtara",2025-05-09,"ZOMATO",149.00,55,14293.00,3775.80,550.00,10517.20,31.95,11099.15,-0.15,11099.00,
"-","-","-","Panaji Navtara",2025-05-09,"SWIGGY",359.00,117,30061.00,7075.38,1170.00,22985.62,95.08,24250.70,0.30,24251.00,
"-","-","-","Panaji Navtara",2025-05-09,"NON AC",841.00,166,51597.51,2890.29,0.00,48707.22,2435.49,51142.71,0.29,51143.00,
"-","-","-","Panaji Navtara",2025-05-09,"TAKE AWAY",76.00,23,4533.66,1195.14,0.00,3338.52,166.95,3505.47,-0.47,3505.00,
"-","-","-","Panaji Navtara",2025-05-09,"AC",283.00,44,25121.70,2174.67,0.00,22947.03,1147.52,24094.55,0.45,24095.00,
"-","-","-","Panaji Navtara",2025-05-10,"ZOMATO",245.00,73,21644.00,5993.20,730.00,15650.80,37.64,16418.44,-0.44,16418.00,
"-","-","-","Panaji Navtara",2025-05-10,"TAKE AWAY",103.00,47,7896.09,598.67,0.00,7297.42,364.89,7662.31,-0.31,7662.00,
"-","-","-","Panaji Navtara",2025-05-10,"NON AC",1115.00,224,69367.00,5586.67,0.00,63780.33,3189.16,66969.49,-0.49,66969.00,
"-","-","-","Panaji Navtara",2025-05-10,"SWIGGY",333.00,102,28377.00,6071.89,1020.00,22305.11,81.24,23406.35,-0.35,23406.00,
"-","-","-","Panaji Navtara",2025-05-10,"AC",607.00,84,59083.60,2149.85,0.00,56933.75,2846.85,59780.60,0.40,59781.00,
"-","-","-","Panaji Navtara",2025-05-11,"TAKE AWAY",74.00,34,5185.90,772.12,0.00,4413.78,220.69,4634.47,-0.47,4634.00,
"-","-","-","Panaji Navtara",2025-05-11,"SWIGGY",550.00,159,44725.00,9756.61,1590.00,34968.39,136.19,36694.58,0.42,36695.00,
"-","-","-","Panaji Navtara",2025-05-11,"NON AC",1025.00,195,71440.65,3614.11,0.00,67826.54,3391.59,71218.13,-0.13,71218.00,
"-","-","-","Panaji Navtara",2025-05-11,"ZOMATO",218.00,62,18248.00,5174.70,620.00,13073.30,43.49,13736.79,0.21,13737.00,
"-","-","-","Panaji Navtara",2025-05-11,"AC",531.00,68,50693.96,1627.00,0.00,49066.96,2453.52,51520.48,-0.48,51520.00,
"-","-","-","Panaji Navtara",2025-05-12,"SWIGGY",444.00,163,41792.00,9455.19,1630.00,32336.81,112.92,34079.73,0.27,34080.00,
"-","-","-","Panaji Navtara",2025-05-12,"ZOMATO",211.00,66,18059.00,5128.25,660.00,12930.75,36.81,13627.56,0.44,13628.00,
"-","-","-","Panaji Navtara",2025-05-12,"NON AC",1121.00,258,70454.29,5193.62,0.00,65260.67,3263.16,68523.83,0.17,68524.00,
"-","-","-","Panaji Navtara",2025-05-12,"TAKE AWAY",93.00,46,6305.23,284.00,0.00,6021.23,301.11,6322.34,-0.34,6322.00,
"-","-","-","Panaji Navtara",2025-05-12,"AC",554.00,79,54549.54,4391.70,0.00,50157.84,2508.06,52665.90,0.10,52666.00,
"-","-","-","Panaji Navtara",2025-05-13,"SWIGGY",392.00,131,34810.24,7802.77,1310.00,27007.47,88.37,28405.84,0.16,28406.00,
