  Building Type,Area,Region,Outlet Name,Date,Tabs,No Of Items,No Of Bills,Sale,Discount,Charges,Net Sale,Total Tax,Total Amount,Round Off,Gross Amount,
"-","-","-","Porvorim Navtara",2021-10-01,"NON FOOD",1.00,1,40.00,0.00,0.00,40.00,0.00,40.00,0.00,40.00,
"-","-","-","Porvorim Navtara",2021-10-01,"SWIGGY",201.00,87,20677.23,4029.50,0.00,16647.73,832.46,17480.19,-0.19,17480.00,
"-","-","-","Porvorim Navtara",2021-10-01,"NON AC",524.00,99,29068.82,1665.90,0.00,27402.92,1370.46,28773.38,-0.38,28773.00,
"-","-","-","Porvorim Navtara",2021-10-01,"ZOMATO",99.00,28,10436.60,1031.16,0.00,9405.44,468.64,9874.08,-0.08,9874.00,
"-","-","-","Porvorim Navtara",2021-10-01,"AC",274.00,25,19915.44,0.00,0.00,19915.44,995.89,20911.33,-0.33,20911.00,
"-","-","-","Porvorim Navtara",2021-10-01,"TAKE AWAY",236.00,40,12420.00,2181.05,0.00,10238.95,511.99,10750.94,0.06,10751.00,
"-","-","-","Porvorim Navtara",2021-10-02,"SWIGGY",237.00,97,25352.12,4745.75,0.00,20606.37,1030.41,21636.78,0.22,21637.00,
"-","-","-","Porvorim Navtara",2021-10-02,"AC",360.00,32,26573.22,0.00,0.00,26573.22,1328.80,27902.02,-0.02,27902.00,
"-","-","-","Porvorim Navtara",2021-10-02,"TAKE AWAY",118.00,37,9543.41,1309.62,0.00,8233.79,411.71,8645.50,0.50,8646.00,
"-","-","-","Porvorim Navtara",2021-10-02,"NON AC",731.00,122,38288.83,2343.04,0.00,35945.79,1797.75,37743.54,0.46,37744.00,
"-","-","-","Porvorim Navtara",2021-10-02,"ZOMATO",97.00,31,8457.50,1260.34,0.00,7197.16,359.91,7557.07,-0.07,7557.00,
"-","-","-","Porvorim Navtara",2021-10-02,"NON FOOD",2.00,1,80.00,0.00,0.00,80.00,0.00,80.00,0.00,80.00,
"-","-","-","Porvorim Navtara",2021-10-03,"AC",250.00,28,17905.99,0.00,0.00,17905.99,895.40,18801.39,-0.39,18801.00,
"-","-","-","Porvorim Navtara",2021-10-03,"SWIGGY",240.00,98,24068.03,5148.29,0.00,18919.73,946.12,19865.85,0.15,19866.00,
"-","-","-","Porvorim Navtara",2021-10-03,"ZOMATO",113.00,33,9826.24,1012.52,0.00,8813.72,440.68,9254.40,-0.40,9254.00,
"-","-","-","Porvorim Navtara",2021-10-03,"NON AC",637.00,99,35117.11,4400.45,0.00,30716.66,1536.05,32252.71,0.29,32253.00,
"-","-","-","Porvorim Navtara",2021-10-03,"TAKE AWAY",215.00,41,13172.08,5166.97,0.00,8005.11,400.32,8405.43,-0.43,8405.00,
"-","-","-","Porvorim Navtara",2021-10-03,"NON FOOD",1.00,1,40.00,0.00,0.00,40.00,0.00,40.00,0.00,40.00,
"-","-","-","Porvorim Navtara",2021-10-04,"SWIGGY",234.00,102,24170.49,5512.68,0.00,18657.81,932.97,19590.78,0.22,19591.00,
"-","-","-","Porvorim Navtara",2021-10-04,"ZOMATO",75.00,25,5675.57,945.72,0.00,4729.85,228.65,4958.50,-0.50,4958.00,
"-","-","-","Porvorim Navtara",2021-10-04,"AC",289.00,25,21220.45,0.00,0.00,21220.45,1061.11,22281.56,0.44,22282.00,
"-","-","-","Porvorim Navtara",2021-10-04,"NON AC",572.00,118,29164.70,4281.45,0.00,24883.25,1244.37,26127.62,0.38,26128.00,
"-","-","-","Porvorim Navtara",2021-10-04,"TAKE AWAY",154.00,46,10029.14,1576.30,0.00,8452.84,422.65,8875.49,-0.49,8875.00,
"-","-","-","Porvorim Navtara",2021-10-05,"SWIGGY",270.00,125,27257.37,6169.37,0.00,21088.00,1054.45,22142.45,-0.45,22142.00,
