Margao Navtara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BillWise_Sales(2025.03.01--2025.03.31),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated On : 2025-04-16 01:09:36 pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deployment,Bill No.,Advance Number,Order Id,Bill Date,Bill Open Time,Print Time,Close Time,Tab Name,Table No.,Covers,Sales,Discount,Net Sales,Gross Bill Amount,Packaging Charge [CART - SWIGGY],CGST,SGST,BEVERAGE,FOOD,CGST_Ecom@2.5%,SGST_Ecom@2.5%,NA,Total Service Charge,Round Off,Cash,Credit Card,Debit Card,Coupon,BTC,TTR,Smart Card,Swiggy,PhonePe -Offline,Total Tip,Offer Code,
Margao Navtara,24-25/T1-156163,-,199812463288376,2025-03-01,08:58:44 PM,09:08:49 PM,10:23:55 PM,SWIGGY,NA,-,219.00,60.00,159.00,169.50,10.00,0.25,0.25,0,159.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,170.00,0,0,-,
Margao Navtara,24-25/T1-156165,-,199813208171158,2025-03-01,09:10:45 PM,09:23:21 PM,10:23:59 PM,SWIGGY,NA,-,268.00,59.99,208.00,218.50,10.00,0.25,0.25,100.12,107.88,0,0,0,0.00,0.50,0,0,0,0,0,0,0,219.00,0,0,-,
Margao Navtara,24-25/T1-156177,-,199849959066379,2025-03-02,07:23:49 AM,07:51:01 AM,08:08:44 AM,SWIGGY,NA,-,496.00,99.99,396.01,411.66,10.00,0.25,0.25,0,396.00,2.58,2.58,0,0.00,0.34,0,0,0,0,0,0,0,412.00,0,0,-,
Margao Navtara,24-25/T1-156183,-,199851659632793,2025-03-02,07:51:51 AM,07:59:43 AM,08:35:29 AM,SWIGGY,NA,-,357.00,75.00,282.00,292.50,10.00,0.25,0.25,0,282.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,293.00,0,0,-,
Margao Navtara,24-25/T1-156191,-,199852270837064,2025-03-02,08:01:51 AM,08:18:12 AM,08:35:32 AM,SWIGGY,NA,-,485.00,100.00,385.00,395.50,10.00,0.25,0.25,0,385.01,0,0,0,0.00,0.50,0,0,0,0,0,0,0,396.00,0,0,-,
Margao Navtara,24-25/T1-156197,-,199852852665822,2025-03-02,08:11:51 AM,08:40:43 AM,09:43:50 AM,SWIGGY,NA,-,408.00,75.00,333.00,350.61,10.00,0.25,0.25,0,333.01,3.55,3.55,0,0.00,0.39,0,0,0,0,0,0,0,351.00,0,0,-,
Margao Navtara,24-25/T1-156199,-,199853228223143,2025-03-02,08:17:51 AM,08:52:43 AM,09:43:55 AM,SWIGGY,NA,-,295.00,0.00,295.00,305.50,10.00,0.25,0.25,0,295.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,306.00,0,0,-,
Margao Navtara,24-25/T1-156203,-,199853393546001,2025-03-02,08:20:51 AM,08:34:02 AM,09:43:59 AM,SWIGGY,NA,-,207.00,0.00,207.00,217.50,10.00,0.25,0.25,129.00,78.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,218.00,0,0,-,
Margao Navtara,24-25/T1-156208,-,199853599073840,2025-03-02,08:24:52 AM,08:46:10 AM,09:44:06 AM,SWIGGY,NA,-,129.00,0.00,129.00,139.50,10.00,0.25,0.25,0,129.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,140.00,0,0,-,
Margao Navtara,24-25/T1-156211,-,199853924597157,2025-03-02,08:29:51 AM,08:46:20 AM,09:44:24 AM,SWIGGY,NA,-,218.00,60.00,158.00,168.50,10.00,0.25,0.25,0,158.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,169.00,0,0,-,
Margao Navtara,24-25/T1-156212,-,199854250090703,2025-03-02,08:34:52 AM,09:19:51 AM,09:44:29 AM,SWIGGY,NA,-,784.00,100.00,684.00,694.50,10.00,0.25,0.25,0,684.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,695.00,0,0,-,
Margao Navtara,24-25/T1-156216,-,199854537713967,2025-03-02,08:39:52 AM,08:49:21 AM,09:44:37 AM,SWIGGY,NA,-,197.00,59.10,137.90,148.40,10.00,0.25,0.25,20.30,117.60,0,0,0,0.00,-0.40,0,0,0,0,0,0,0,148.00,0,0,-,
Margao Navtara,24-25/T1-156218,-,199854698433989,2025-03-02,08:42:52 AM,08:50:59 AM,09:44:43 AM,SWIGGY,NA,-,238.00,59.99,178.00,188.50,10.00,0.25,0.25,0,178.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,189.00,0,0,-,
Margao Navtara,24-25/T1-156220,-,199855197170873,2025-03-02,08:50:54 AM,08:58:57 AM,09:44:49 AM,SWIGGY,NA,-,218.00,60.00,158.00,168.50,10.00,0.25,0.25,0,158.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,169.00,0,0,-,
Margao Navtara,24-25/T1-156223,-,199855318195011,2025-03-02,08:52:54 AM,09:07:08 AM,09:44:55 AM,SWIGGY,NA,-,203.00,60.00,143.00,160.65,10.00,0.25,0.25,0,143.00,3.58,3.58,0,0.00,0.35,0,0,0,0,0,0,0,161.00,0,0,-,
Margao Navtara,24-25/T1-156235,-,199856145322591,2025-03-02,09:06:55 AM,09:53:25 AM,10:12:32 AM,SWIGGY,NA,-,890.00,111.25,778.75,784.00,5.00,0.13,0.13,0,778.74,0,0,0,0.00,0.00,0,0,0,0,0,0,0,784.00,0,0,-,
Margao Navtara,24-25/T1-156236,-,199856145536962,2025-03-02,09:06:56 AM,10:01:56 AM,10:12:38 AM,SWIGGY,NA,-,890.00,111.25,778.75,784.00,5.00,0.13,0.13,0,778.74,0,0,0,0.00,0.00,0,0,0,0,0,0,0,784.00,0,0,-,
Margao Navtara,24-25/T1-156241,-,199856439636210,2025-03-02,09:11:55 AM,09:21:31 AM,09:45:02 AM,SWIGGY,NA,-,207.00,59.99,147.00,157.50,10.00,0.25,0.25,0,147.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,158.00,0,0,-,
Margao Navtara,24-25/T1-156253,-,199857133134418,2025-03-02,09:22:56 AM,09:43:18 AM,10:12:42 AM,SWIGGY,NA,-,198.00,59.40,138.60,149.10,10.00,0.25,0.25,0,138.60,0,0,0,0.00,-0.10,0,0,0,0,0,0,0,149.00,0,0,-,
