  Building Type,Area,Region,Outlet Name,Date,Tabs,No Of Items,No Of Bills,Sale,Discount,Charges,Net Sale,Total Tax,Total Amount,Round Off,Gross Amount,
"-","-","-","Baga Navtara",2019-10-01,"NON AC",387.00,80,30668.60,0.00,0.00,30668.60,1533.47,32202.07,-0.07,32202.00,
"-","-","-","Baga Navtara",2019-10-01,"AC",177.00,22,17057.93,0.00,0.00,17057.93,853.01,17910.94,0.06,17911.00,
"-","-","-","Baga Navtara",2019-10-01,"TAKE AWAY",16.00,6,1790.54,0.00,0.00,1790.54,89.53,1880.07,-0.07,1880.00,
"-","-","-","Baga Navtara",2019-10-01,"SWIGGY",17.00,11,2760.00,0.00,0.00,2760.00,138.00,2898.00,0.00,2898.00,
"-","-","-","Baga Navtara",2019-10-02,"NON AC",398.00,84,30364.04,142.86,0.00,30221.18,1511.11,31732.29,-0.29,31732.00,
"-","-","-","Baga Navtara",2019-10-02,"SWIGGY",24.00,9,2600.00,0.00,0.00,2600.00,130.00,2730.00,0.00,2730.00,
"-","-","-","Baga Navtara",2019-10-02,"TAKE AWAY",18.00,5,1162.04,0.00,0.00,1162.04,58.11,1220.15,-0.15,1220.00,
"-","-","-","Baga Navtara",2019-10-02,"AC",106.00,16,10876.72,104.77,0.00,10771.95,538.68,11310.63,0.37,11311.00,
"-","-","-","Baga Navtara",2019-10-03,"TAKE AWAY",19.00,7,1466.74,0.00,0.00,1466.74,73.32,1540.06,-0.06,1540.00,
"-","-","-","Baga Navtara",2019-10-03,"NON AC",361.00,85,30182.73,0.00,0.00,30182.73,1509.13,31691.86,0.14,31692.00,
"-","-","-","Baga Navtara",2019-10-03,"AC",179.00,17,16200.84,0.00,0.00,16200.84,810.15,17010.99,0.01,17011.00,
"-","-","-","Baga Navtara",2019-10-03,"SWIGGY",1.00,1,110.00,0.00,0.00,110.00,5.50,115.50,0.50,116.00,
"-","-","-","Baga Navtara",2019-10-04,"NON AC",513.00,97,43221.63,0.00,0.00,43221.63,2161.18,45382.81,0.19,45383.00,
"-","-","-","Baga Navtara",2019-10-04,"AC",258.00,20,26048.76,0.00,0.00,26048.76,1302.53,27351.29,-0.29,27351.00,
"-","-","-","Baga Navtara",2019-10-04,"TAKE AWAY",6.00,4,400.03,0.00,0.00,400.03,20.00,420.03,-0.03,420.00,
"-","-","-","Baga Navtara",2019-10-04,"SWIGGY",19.00,5,1640.00,0.00,0.00,1640.00,82.00,1722.00,0.00,1722.00,
"-","-","-","Baga Navtara",2019-10-05,"NON AC",414.00,84,32049.59,342.88,0.00,31706.71,1585.41,33292.12,-0.12,33292.00,
"-","-","-","Baga Navtara",2019-10-05,"AC",196.00,24,19486.69,0.00,0.00,19486.69,974.44,20461.13,-0.13,20461.00,
"-","-","-","Baga Navtara",2019-10-05,"SWIGGY",25.00,7,2090.00,0.00,0.00,2090.00,104.50,2194.50,0.50,2195.00,
"-","-","-","Baga Navtara",2019-10-05,"TAKE AWAY",37.00,8,2476.38,0.00,0.00,2476.38,123.82,2600.20,-0.20,2600.00,
"-","-","-","Baga Navtara",2019-10-06,"AC",189.00,17,17762.82,0.00,0.00,17762.82,888.21,18651.03,-0.03,18651.00,
"-","-","-","Baga Navtara",2019-10-06,"NON AC",540.00,97,42154.89,0.00,0.00,42154.89,2107.83,44262.72,0.28,44263.00,
"-","-","-","Baga Navtara",2019-10-06,"SWIGGY",15.00,5,1590.00,0.00,0.00,1590.00,79.50,1669.50,0.50,1670.00,
"-","-","-","Baga Navtara",2019-10-06,"TAKE AWAY",9.00,5,580.98,0.00,0.00,580.98,29.05,610.03,-0.03,610.00,
"-","-","-","Baga Navtara",2019-10-07,"AC",173.00,17,17905.37,0.00,0.00,17905.37,895.27,18800.64,0.36,18801.00,
"-","-","-","Baga Navtara",2019-10-07,"NON AC",616.00,114,49697.91,0.00,0.00,49697.91,2484.95,52182.86,0.14,52183.00,
"-","-","-","Baga Navtara",2019-10-07,"TAKE AWAY",26.00,9,1895.36,0.00,0.00,1895.36,94.75,1990.11,-0.11,1990.00,
"-","-","-","Baga Navtara",2019-10-07,"SWIGGY",27.00,5,2010.00,0.00,0.00,2010.00,100.50,2110.50,0.50,2111.00,
"-","-","-","Baga Navtara",2019-10-08,"AC",239.00,26,21620.10,0.00,0.00,21620.10,1081.09,22701.19,-0.19,22701.00,
"-","-","-","Baga Navtara",2019-10-08,"NON AC",360.00,68,29849.30,0.00,0.00,29849.30,1492.59,31341.89,0.11,31342.00,
"-","-","-","Baga Navtara",2019-10-08,"TAKE AWAY",12.00,6,742.92,0.00,0.00,742.92,37.16,780.08,-0.08,780.00,
"-","-","-","Baga Navtara",2019-10-08,"SWIGGY",16.00,8,1790.00,0.00,0.00,1790.00,89.50,1879.50,0.50,1880.00,
"-","-","-","Baga Navtara",2019-10-09,"NON AC",292.00,62,22991.88,0.00,0.00,22991.88,1149.61,24141.49,-0.49,24141.00,
"-","-","-","Baga Navtara",2019-10-09,"AC",105.00,15,10238.56,0.00,0.00,10238.56,512.01,10750.57,0.43,10751.00,
"-","-","-","Baga Navtara",2019-10-09,"TAKE AWAY",13.00,5,933.41,0.00,0.00,933.41,46.68,980.09,-0.09,980.00,
"-","-","-","Baga Navtara",2019-10-09,"SWIGGY",5.00,2,360.00,0.00,0.00,360.00,18.00,378.00,0.00,378.00,
"-","-","-","Baga Navtara",2019-10-10,"TAKE AWAY",23.00,7,2333.48,0.00,0.00,2333.48,116.67,2450.15,-0.15,2450.00,
"-","-","-","Baga Navtara",2019-10-10,"NON AC",400.00,62,31944.75,0.00,0.00,31944.75,1597.29,33542.04,-0.04,33542.00,
"-","-","-","Baga Navtara",2019-10-10,"AC",215.00,18,21277.19,0.00,0.00,21277.19,1063.93,22341.12,-0.12,22341.00,
"-","-","-","Baga Navtara",2019-10-10,"SWIGGY",18.00,5,1540.00,0.00,0.00,1540.00,77.00,1617.00,0.00,1617.00,
"-","-","-","Baga Navtara",2019-10-11,"NON AC",429.00,82,33173.49,180.96,0.00,32992.53,1649.69,34642.22,-0.22,34642.00,
"-","-","-","Baga Navtara",2019-10-11,"AC",224.00,19,21543.89,0.00,0.00,21543.89,1077.28,22621.17,-0.17,22621.00,
"-","-","-","Baga Navtara",2019-10-11,"TAKE AWAY",11.00,5,685.77,0.00,0.00,685.77,34.28,720.05,-0.05,720.00,
"-","-","-","Baga Navtara",2019-10-11,"SWIGGY",16.00,4,1570.00,0.00,0.00,1570.00,78.50,1648.50,0.50,1649.00,
"-","-","-","Baga Navtara",2019-10-12,"NON AC",432.00,83,32897.33,0.00,0.00,32897.33,1644.94,34542.27,-0.27,34542.00,
"-","-","-","Baga Navtara",2019-10-12,"TAKE AWAY",17.00,6,1476.26,0.00,0.00,1476.26,73.81,1550.07,-0.07,1550.00,
"-","-","-","Baga Navtara",2019-10-12,"AC",333.00,26,31153.93,0.00,0.00,31153.93,1557.87,32711.80,0.20,32712.00,
"-","-","-","Baga Navtara",2019-10-12,"SWIGGY",5.00,2,450.00,0.00,0.00,450.00,22.50,472.50,0.50,473.00,
"-","-","-","Baga Navtara",2019-10-13,"NON AC",294.00,64,25582.30,0.00,0.00,25582.30,1279.20,26861.50,-0.50,26861.00,
"-","-","-","Baga Navtara",2019-10-13,"AC",141.00,13,14400.62,0.00,0.00,14400.62,720.15,15120.77,0.23,15121.00,
"-","-","-","Baga Navtara",2019-10-13,"SWIGGY",22.00,7,1870.00,0.00,0.00,1870.00,93.50,1963.50,0.50,1964.00,
"-","-","-","Baga Navtara",2019-10-13,"TAKE AWAY",16.00,8,990.51,0.00,0.00,990.51,49.52,1040.03,-0.03,1040.00,
"-","-","-","Baga Navtara",2019-10-14,"NON AC",277.00,64,19772.91,66.68,0.00,19706.23,985.43,20691.66,0.34,20692.00,
"-","-","-","Baga Navtara",2019-10-14,"TAKE AWAY",32.00,11,3057.29,0.00,0.00,3057.29,152.88,3210.17,-0.17,3210.00,
"-","-","-","Baga Navtara",2019-10-14,"AC",66.00,7,5876.53,0.00,0.00,5876.53,293.85,6170.38,-0.38,6170.00,
"-","-","-","Baga Navtara",2019-10-14,"SWIGGY",7.00,3,610.00,0.00,0.00,610.00,30.50,640.50,0.50,641.00,
"-","-","-","Baga Navtara",2019-10-15,"NON AC",341.00,52,22830.41,28.58,0.00,22801.83,1140.20,23942.03,-0.03,23942.00,
"-","-","-","Baga Navtara",2019-10-15,"TAKE AWAY",23.00,7,1581.10,0.00,0.00,1581.10,79.06,1660.16,-0.16,1660.00,
"-","-","-","Baga Navtara",2019-10-15,"AC",118.00,15,12667.18,0.00,0.00,12667.18,633.38,13300.56,0.44,13301.00,
"-","-","-","Baga Navtara",2019-10-15,"SWIGGY",4.00,1,180.00,0.00,0.00,180.00,9.00,189.00,0.00,189.00,
"-","-","-","Baga Navtara",2019-10-16,"NON AC",194.00,45,16134.19,0.00,0.00,16134.19,806.75,16940.94,0.06,16941.00,
"-","-","-","Baga Navtara",2019-10-16,"TAKE AWAY",6.00,4,552.40,0.00,0.00,552.40,27.62,580.02,-0.02,580.00,
"-","-","-","Baga Navtara",2019-10-16,"SWIGGY",4.00,3,480.00,0.00,0.00,480.00,24.00,504.00,0.00,504.00,
"-","-","-","Baga Navtara",2019-10-16,"AC",60.00,10,5971.73,0.00,0.00,5971.73,298.60,6270.33,-0.33,6270.00,
"-","-","-","Baga Navtara",2019-10-17,"NON AC",269.00,52,20772.63,38.10,0.00,20734.53,1036.77,21771.30,-0.30,21771.00,
"-","-","-","Baga Navtara",2019-10-17,"AC",76.00,9,6990.75,76.20,0.00,6914.55,345.76,7260.31,-0.31,7260.00,
"-","-","-","Baga Navtara",2019-10-17,"TAKE AWAY",13.00,4,1066.73,0.00,0.00,1066.73,53.34,1120.07,-0.07,1120.00,
"-","-","-","Baga Navtara",2019-10-17,"SWIGGY",2.00,1,130.00,0.00,0.00,130.00,6.50,136.50,0.50,137.00,
"-","-","-","Baga Navtara",2019-10-18,"NON AC",232.00,49,16362.89,0.00,0.00,16362.89,818.18,17181.07,-0.07,17181.00,
"-","-","-","Baga Navtara",2019-10-18,"SWIGGY",5.00,2,520.00,0.00,0.00,520.00,26.00,546.00,0.00,546.00,
"-","-","-","Baga Navtara",2019-10-18,"TAKE AWAY",8.00,4,723.85,0.00,0.00,723.85,36.20,760.05,-0.05,760.00,
"-","-","-","Baga Navtara",2019-10-18,"AC",34.00,5,3000.15,0.00,0.00,3000.15,150.05,3150.20,-0.20,3150.00,
"-","-","-","Baga Navtara",2019-10-19,"NON AC",317.00,51,22544.41,0.00,0.00,22544.41,1127.33,23671.74,0.26,23672.00,
"-","-","-","Baga Navtara",2019-10-19,"TAKE AWAY",4.00,3,666.69,0.00,0.00,666.69,33.34,700.03,-0.03,700.00,
"-","-","-","Baga Navtara",2019-10-19,"SWIGGY",3.00,1,290.00,0.00,0.00,290.00,14.50,304.50,0.50,305.00,
"-","-","-","Baga Navtara",2019-10-19,"AC",52.00,7,5495.51,657.17,0.00,4838.34,241.97,5080.31,-0.31,5080.00,
"-","-","-","Baga Navtara",2019-10-20,"NON AC",370.00,59,27516.01,0.00,0.00,27516.01,1375.88,28891.89,0.11,28892.00,
"-","-","-","Baga Navtara",2019-10-20,"AC",100.00,11,9705.21,0.00,0.00,9705.21,485.32,10190.53,0.47,10191.00,
"-","-","-","Baga Navtara",2019-10-20,"TAKE AWAY",9.00,5,942.88,0.00,0.00,942.88,47.12,990.00,0.00,990.00,
"-","-","-","Baga Navtara",2019-10-20,"SWIGGY",4.00,1,440.00,0.00,0.00,440.00,22.00,462.00,0.00,462.00,
"-","-","-","Baga Navtara",2019-10-21,"NON AC",194.00,43,15477.08,0.00,0.00,15477.08,773.84,16250.92,0.08,16251.00,
"-","-","-","Baga Navtara",2019-10-21,"TAKE AWAY",12.00,7,1276.23,0.00,0.00,1276.23,63.81,1340.04,-0.04,1340.00,
"-","-","-","Baga Navtara",2019-10-21,"AC",66.00,7,5866.94,0.00,0.00,5866.94,293.40,6160.34,-0.34,6160.00,
"-","-","-","Baga Navtara",2019-10-21,"SWIGGY",2.00,2,240.00,0.00,0.00,240.00,12.00,252.00,0.00,252.00,
"-","-","-","Baga Navtara",2019-10-22,"NON AC",232.00,49,18886.76,0.00,0.00,18886.76,944.38,19831.14,-0.14,19831.00,
"-","-","-","Baga Navtara",2019-10-22,"AC",85.00,11,7857.51,0.00,0.00,7857.51,392.91,8250.42,-0.42,8250.00,
"-","-","-","Baga Navtara",2019-10-22,"SWIGGY",8.00,4,1060.00,0.00,0.00,1060.00,53.00,1113.00,0.00,1113.00,
"-","-","-","Baga Navtara",2019-10-22,"TAKE AWAY",15.00,5,1447.68,0.00,0.00,1447.68,72.38,1520.06,-0.06,1520.00,
"-","-","-","Baga Navtara",2019-10-23,"NON AC",262.00,53,21105.95,180.98,0.00,20924.97,1046.27,21971.24,-0.24,21971.00,
"-","-","-","Baga Navtara",2019-10-23,"SWIGGY",10.00,2,970.00,0.00,0.00,970.00,48.50,1018.50,0.50,1019.00,
"-","-","-","Baga Navtara",2019-10-23,"AC",43.00,4,4114.51,0.00,0.00,4114.51,205.73,4320.24,-0.24,4320.00,
"-","-","-","Baga Navtara",2019-10-23,"TAKE AWAY",7.00,4,476.24,0.00,0.00,476.24,23.82,500.06,-0.06,500.00,
"-","-","-","Baga Navtara",2019-10-24,"NON AC",166.00,35,11991.25,0.00,0.00,11991.25,599.60,12590.85,0.15,12591.00,
"-","-","-","Baga Navtara",2019-10-24,"AC",105.00,9,10181.35,0.00,0.00,10181.35,509.11,10690.46,-0.46,10690.00,
"-","-","-","Baga Navtara",2019-10-24,"TAKE AWAY",7.00,4,1009.57,0.00,0.00,1009.57,50.48,1060.05,-0.05,1060.00,
"-","-","-","Baga Navtara",2019-10-24,"SWIGGY",8.00,4,660.00,0.00,0.00,660.00,33.00,693.00,0.00,693.00,
"-","-","-","Baga Navtara",2019-10-25,"NON AC",290.00,56,23887.11,9.53,0.00,23877.58,1193.94,25071.52,0.48,25072.00,
